content,followers,genre,genres,label,popularity,track
"Montell Du’Sean Jordan (born December 3, 1968 in Los Angeles, California) is an American R&B singer, songwriter, and record producer. Jordan was the first R&B artist signed to the Def Jam label, and became the main male artist on its Def Soul imprint until leaving the label in 2003.      Jordan attended Pepperdine University in California to pick up a bachelor’s degree in communications, graduating summa cum laude and was a state finalist for the Rhodes Scholarship.      Jordan’s first single was the 1995 #1 hit single “This Is How We Do It”, and defined his hip hop soul musical style. “This Is How We Do It” and its follow- up, “Somethin’ 4 Da Honeyz”, show a strong hip hop influence, and Jordan’s material fit alongside the rest of Def Jam’s output. Future hits would include “Let’s Ride” with Master P in 1998 and “Get It on Tonite” in late-1999.      Besides crafting his own material, Jordan has written and produced for a number of outside artists, including Christina Milian, 98 Degrees, Deborah Cox (“Nobody’s Supposed to Be Here”, 1998), and Sisqó (the number-one hit “Incomplete”, 2000). The singer has had cameo roles in the films “The Fighting Temptations” and “The Nutty Professor.”      Jordan left Def Soul in 2003 and released the album “Life After Def” on Koch Records.      Jordan released his 7th project - “Let It Rain” - on October 21, 2008.      In 2010, Jordan left the music business to become a minister. As he explained on his Twitter feed, the decision is “a calling that’s probably been with me all my life since I was a child. And I’ve known it. A lot of people in the business know it and have the same calling but that leap of faith is difficult.”       ",391034,soul,"['hip hop', 'hip pop', 'new jack swing', 'r&b', 'urban contemporary']",montell jordan,61,"['This Is How We Do It', 'Get It On Tonite', 'This Is How We Do It', 'This Is How We Do It', 'This Is How We Do It', ""What's On Tonight"", ""Let's Ride"", 'Get It On Tonite', ""Let's Ride"", 'The Party (This Is How We Do It)']"
"**Bryan Adams** OC, OBC, (born 5 November 1959) is a Canadian rock singer, guitarist, songwriter and photographer. Some of his best-known albums are Reckless, 18 til I Die, and Waking Up the Neighbours.      Bryan Adams was already popular in [Canada](http://www.last.fm/place/Canada) when the release of his third album ‘Cuts Like A Knife’ in 1983 brought him a large following in the USA. His fourth album, ‘Reckless’, often referred to as one of the most significant of the 1980s, sold over 4 million copies at the time and continues to sell now. His fifth album ‘Into the Fire’ went platinum.      ‘Waking Up The Neighbours’, his sixth album in 1991, powered him to international stardom. The single ‘(Everything I Do) I Do For You’ spent 16 weeks at number 1; it broke a UK record that had stood since 1955 and still stands today. Across in the USA it became the second largest selling single to ‘We Are The World’. The song was featured in the film ‘Robin Hood: Prince of Thieves’ (1991) and for this Mr Adams received his first Academy Award nomination. He was also nominated for a Golden Globe.      42 film Directors’ have used Adams’ music as soundtrack - from A Night In Heaven (1983) to Bobby (2007).      Adams was awarded the C.M. (Member of the Order of Canada) on April 20th 1998 and the C.O. (Officer of the Order of Canada) on May 6th 1988 for his contribution to popular music and his philanthropic work. He was also inducted into Canada’s Walk of Fame in 1998, and more recently inducted into the Music Hall of Fame at Canada’s Juno Awards (the Canadian equivalent of the Grammys) in April 2006. Notably, Adams refuses to attend the awards; as his manager, Bruce Allen explains: “they turned their back on the biggest thing to come out of Canada”—in reference to the hit ‘(Everything I Do) I Do For You’.      Adams has been nominated for three Academy Awards for songwriting, and was recently nominated for his fifth Golden Globe (2007) for his songwriting in the film ‘Bobby’.      Some trivia:   Bryan Adams shares the same birthday as Ryan Adams, the late Herman Brood and René Froger.   He attended the same high school as Michael J. Fox in Vancouver.   Of his #1 hits only one (‘Please Forgive Me’) was not written for a motion picture.   Bryan Adams is part Maltese. He Declared this on Tour in 2007 when he visited Malta.   Bryan Adams is also an acclaimed photographer. His works include his book “Made in Canada” <http://www.photography.ca/photographer/adams_bryan.html>      Bryan Adams also did a major part of the Spirit: Stallion of the Cimarron soundtrack  ",1276596,rock,"['album rock', 'canadian pop', 'canadian singer-songwriter', 'classic canadian rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']",bryan adams,77,"[""Summer Of '69"", 'Heaven', '(Everything I Do) I Do It For You', 'Run To You', 'Please Forgive Me', 'I Finally Found Someone (feat. Bryan Adams)', 'Have You Ever Really Loved A Woman?', 'Straight From The Heart', 'Here I Am', ""You Can't Take Me - Soundtrack Version""]"
"Joey Beltram (born 6 November 1971) is an American DJ and record producer, known best for the pioneering techno music recordings “Energy Flash” and “Mentasm”.      Though he has never belonged to any particular urban scene, he has nevertheless fascinated his audience through his musical independence. Nor can he as a “non-Manhattaner”, be counted as part of the New York scene: ”…with my productions I have to have my own sound”. His tracks present what he sees, whatever is running through his mind at the time or things he has lived through and experienced in all the years as a musician and DJ: the ups and the downs, the violence and confusion and of course, the feeling. His music carries many subtle undertones…      Joey Beltram grew up in Queens, New York, the son of a Mexican father and an Italian mother. In his tough surroundings, he stood his own ground and won the necessary respect on the street with his graffiti art. As a ‘subway surfer’ he belonged to a generation of kids whose images in the New York subways show obvious traces of their “feeling for survival and life”. “Poes” is his pseudonym, which still can be found, once in a while, as the signature under some of the big, colorful graffiti works. That urge is still there, but now he uses a different outlet for his creative energies: music. Back in 1983, at the age of twelve, he stood behind a turntable for the first time, and by 17 he had recorded his first maxi single — for Nu Groove in New York. Then followed a series of releases for Atmosphere Records and Easy Street, NY - and Trax Records in Chicago, under the project name Cold Six (“Forgotten Moments” - 1989). This “first official EP”, as he calls it, established contact for him with the Belgian label R&S Records, which ended up signing him to a recording contract.      At the end of 1989 Beltram went to Gent, Belgium as the first American musician to work there for a longer period. The result of his cooperation with Mundo Music as Second Phase was “Vortex” and “Mentasm”. “Let It Ride”, released under the project name Direct, opened his way into the US, “with a little detour through Europe”. But his worldwide breakthrough came with the release of “Energy Flash” in 1990. This Techno classic also succeeded in getting the new club generation onto dance floors in no time at all, again and again. By now a 20-year-old, the album “Beltram Vol. 1” (1991) helped to push the Techno revolution forward, and eliminated any of the early doubts that perhaps he was only a short-lived, one-hit phenomenon. At the end of 1990 musical differences between himself and label boss Renaat resulted in a mutually agreed separation between Beltram and R&S Records. Joey then concentrated on his career as a DJ, toured all over Europe and America, and continued working in his studio, even though he allowed himself a two-year break from any new releases.      In 1992, Beltram made his comeback on Warp Records with the EP “Calibre”",15342,classic,"['acid house', 'chicago house', 'hardcore techno', 'minimal techno', 'techno']",joey beltram,35,"['Energy Flash', 'Drome', 'Give Me Something - Joey Beltram Remix', 'Slice - Joseph Capriati Remix', 'Mentasm', 'Slice 2010 (Carl Cox Rerub)', 'Jazz 303', 'Breaking Bricks - Joey Beltram Remix', 'The Zound (Energy Flash)', 'My Sound']"
"**Wanda Jackson** (born Wanda Lavonne Jackson, October 20, 1937 in Maud, Oklahoma) is an American [rock and roll](http://www.last.fm/tag/rock%20and%20roll) singer. Having made her debut recordings at the age of nineteen, she became one of the first popular female rock and roll singers in history and as a result, a pioneering and influential figure in female musicianship. She is known as the “Queen (or First Lady) of Rockabilly.”      Jackson was still in high school when country singer Hank Thompson heard her sing on an Oklahoma City radio show and asked her to record with his band in 1954. She dated Elvis Presley, who encouraged her to step away from the country-tinged gospel she had been performing since childhood and try her hand at rock and roll. She developed her own distinctive voice and performed in a variety of styles, from folksy traditional tunes to country twang and high yodels to throaty, suggestive ballads. She was a prolific singer of songs with wry lyrics such as “Fujiyama Mama,” which contained many references to the World War II bombing of Hiroshima and Nagasaki; ironically, it became a #1 hit in Japan. Her biggest hit was 1959’s “Let’s Have a Party.”      Jackson achieved great and continuing success throughout Europe, Asia, and Australia, but has never found the same level of fame in her native United States. She toured with rock and roll pioneers such as Elvis Presley, Jerry Lee Lewis, and Buddy Holly. She has been nominated for two Grammys, and has been awarded the Oklahoma Native Daughter Award. She has been inducted into the Oklahoma Country Music Hall of Fame, the Rockabilly Hall of Fame, the International Hall of Fame, the International Gospel Music Hall of Fame, the Oklahoma Music Hall of Fame, and the German Country Music Hall of Fame, and in 2009 was finally inducted into the Rock and Roll Hall of Fame as an Early Influence.      A born-again Christian, Jackson and her husband/manager Wendell Goodman abandoned rock and roll in 1971 and spent the next 25 years performing gospel in churches.      In 1996, Jackson was invited by alt-country singer Rosie Flores to duet with her on an upcoming album. The two were so pleased with the results that Jackson joined Flores on a handful of promotional club dates which were soon extended into a five-week North American tour. Jackson, plesantly surprised to discover that she and her songs were known by a generation of rockabilly fans her grandchildren’s age, soon assembled her own band and returned to clubs and festivals, where she continues to perform.      In recent years Jackson has recorded with such artists as The Cramps, Lee Rocker, Dave Alvin, and Elvis Costello. 2006 saw the release of a new Jackson album, I Remember Elvis.      In 2009, it was announced that Jackson would start work on new recordings with Jack White. The resulting album, The Party Ain’t Over, was released on January 25, 2011",65552,country,"['rock-and-roll', 'rockabilly', 'surf music']",wanda jackson,48,"[""Let's Have A Party"", 'Funnel of Love', 'Right Or Wrong', 'Right Or Wrong', 'Long Tall Sally', 'Hard Headed Woman', 'Fujiyama Mama - Remastered', 'Thunder on the Mountain', 'Stupid Cupid', 'Fujiyama Mama - Remastered']"
"**Mudvayne** is an American [metal](http://www.last.fm/tag/metal) band from Peoria, IL. The musical styles of their first two albums were highly innovative, combining elements of [progressive metal](http://www.last.fm/tag/progressive%20metal) with [alternative metal](http://www.last.fm/tag/alternative%20metal) and were considered to be a [math metal](http://www.last.fm/tag/math%20metal) band for this sound, although the band’s later albums changed direction. The band is best recognizable by their strong drumming, complex bass playing, heavy, gruff and usually angered vocals, heavy guitars and riffs, complex time signatures and frequent rhythm changes. Mudvayne sold over 6,000,000 copies worldwide.      Mudvayne’s first album, [L.D. 50](http://www.last.fm/music/Mudvayne/L.D.+50), was released in 2000. It received very positive critical acclaim, being most praised for its technical sound, which were uncommon for the rest of the bands in the early 2000s metal scene. The album was #1 at _Top Heatseekers_, and sold over 500,000 copies in its first four months after release (thus certified Gold by the RIAA). “[Dig](http://www.last.fm/music/Mudvayne/_/Dig)”, the album’s lead single has won first ever MTV2 Video Music Award. Besides “Dig”, the album’s two other and also highly successive singles, “[Death Blooms](http://www.last.fm/music/Mudvayne/_/Death+Blooms)” and “[Nothing to Gein](http://www.last.fm/music/Mudvayne/_/Nothing+to+Gein)” paved the way for the album. At that time, the band was recognizable for their somewhat bizarre image. In 2001, the band released a live DVD entitled “(L)ive (D)osage 50”, that was recorded in 2001 in their home town of Peoria. The DVD was also certified Gold by the RIAA, selling over 500,000 copies.      Mudvayne’s sophomore release, [The End of All Things to Come](http://www.last.fm/music/Mudvayne/The+End+of+All+Things+to+Come), proved that the band was more than capable of progressing from a highly praised record successfully. The band took a totally different approach to songwriting. The album sounded more compact, with even more progressive elements. This album also received a great echo in the public, and was also certified Gold by the RIAA. The band’s lead single, “[Not Falling](http://www.last.fm/music/Mudvayne/_/Not+Falling)”, became an iconic song for the band. On this album, the band changed their image from multicolored face paint to dressing up as aliens, as seen on the video of “Not Falling” and several early shows in 2002. In 2003, with the release of another successful single, [World So Cold](http://www.last.fm/music/Mudvayne/_/World+So+Cold), the band abandoned their use of make up. This was the first video that shows band members without any makeup. Shortly after, the band released another live DVD that was recorded on Summer Sanitarium Tour with Metallica and Linkin Park, entitled “All Access to All Things”. On this DVD, Chad Gray’s voice problems were evident",826821,world,"['alternative metal', 'groove metal', 'industrial metal', 'industrial rock', 'melodic metalcore', 'nu metal', 'post-grunge', 'rap metal', 'rap rock']",mudvayne,63,"['Happy?', 'Dig', 'Scream With Me', 'Forget to Remember', 'Determined', 'World So Cold', 'Death Blooms', 'Fall Into Sleep', 'Not Falling', 'King Of Pain']"
"**The Prodigy** are a Braintree, Essex, UK, [electronic](http://www.last.fm/tag/electronic) music group (aka **[Prodigy](http://www.last.fm/music/Prodigy)**), formed by **[Liam Howlett](http://www.last.fm/music/Liam+Howlett)** (composition, keyboards), in 1990. They have sold over 20 million records worldwide, which is almost unequalled in dance music history.      Their music consists of various styles ranging from [rave](http://www.last.fm/tag/rave) and [breakbeat hardcore](http://www.last.fm/tag/breakbeat%20hardcore) in the early [90s](http://www.last.fm/tag/90s) to [alternative rock](http://www.last.fm/tag/alternative%20rock) and [big beat](http://www.last.fm/tag/big%20beat), with [punk](http://www.last.fm/tag/punk) vocal elements in later times. Other current band members include: **[Keith Flint](http://www.last.fm/music/Keith+Flint)** (dancing, vocals), **[Maxim](http://www.last.fm/music/Maxim)** (MCing, vocals) and live guitarist **Rob Holliday** ([Marilyn Manson](http://www.last.fm/music/Marilyn+Manson), [Gary Numan](http://www.last.fm/music/Gary+Numan), [Curve](http://www.last.fm/music/Curve), [Sulpher](http://www.last.fm/music/Sulpher)).      **[Leeroy Thornhill](http://www.last.fm/music/Leeroy+Thornhill)** (dancing, occasional live keyboards), was a member of the band from 1990 to 2000, as well was a female dancer / vocalist **[Sharky](http://www.last.fm/music/Sharky)**, who left the band during their early period. Other notable former live members include: **Gizz Butt** (guitar - [English Dogs](http://www.last.fm/music/English+Dogs), [Janus Stark](http://www.last.fm/music/Janus+Stark), [Sabbat](http://www.last.fm/music/Sabbat)) - toured with the band for three years throughout the late ’90s, **Kieron Pepper** (drum - [RealTV](http://www.last.fm/music/RealTV), [Happy Gilmore](http://www.last.fm/music/Happy+Gilmore)) - played for the group from 1997 to 2007 (also contributing to the solo projects of **Maxim** and **Flint**’s band, [Flint](http://www.last.fm/music/Flint)), as well as **[Jim Davies](http://www.last.fm/music/Jim+Davies)** (guitar - [Pitchshifter](http://www.last.fm/music/Pitchshifter)), who also performed in Flint.      **The Prodigy** first emerged on the underground [rave](http://www.last.fm/tag/rave) scene in the early 1990, releasing their début LP **_[Experience](http://www.last.fm/music/The+Prodigy/Experience)_** (1992) and have since then achieved immense popularity and worldwide renown. Some of their most popular songs include “**[Charly](http://www.last.fm/music/The+Prodigy/_/Charly)**”, “**[Out of Space](http://www.last.fm/music/The+Prodigy/_/Out+of+Space)**”, “**[No Good (Start the Dance)](http://www.last.fm/music/The+Prodigy/_/No+Good+\(Start+the+Dance\))**”, “**[Voodoo People](http://www.last.fm/music/The+Prodigy/_/Voodoo+People)**”, “**[Firestarter](http://www.last.fm/music/The+Prodigy/_/Firestarter)**”, “**[Breathe](http://www.last.fm/music/The+Prodigy/_/Breathe)**” and “**[Smack My Bitch Up](http://www",1159120,electronic,"['big beat', 'breakbeat', 'electronic', 'hardcore techno']",the prodigy,68,"['Breathe', 'Smack My Bitch Up', 'Firestarter', 'Invaders Must Die', 'Omen', 'Keep It Thoro', 'Self Conscience - Dirty Version', 'Out Of Space', 'The Day Is My Enemy', ""Shut 'Em Up""]"
"**Willie Hugh Nelson** (born April 30, 1933) is an [American](http://www.last.fm/place/united%20states) [country](http://www.last.fm/tag/country) singer, author, [poet](http://www.last.fm/tag/poet), actor and activist, originally from Abbott, Texas. He reached his greatest fame during the [outlaw country](http://www.last.fm/tag/outlaw%20country) movement of the 19[70s](http://www.last.fm/tag/70s), but remains iconic, especially in American popular culture.      Nelson was born and raised in Abbott, Texas, the son of Myrle and Ira D. Nelson, who was a mechanic and pool hall owner. His grandparents William Alfred Nelson and Nancy Elizabeth Smothers gave him mail-order music lessons starting at age six. He wrote his first song when he was seven and was playing in a local band at age nine. Willie played the guitar, while his sister Bobbie played the piano. He met Bud Fletcher, a fiddler, and, while he was still in high school, formed a band, the Bohemian Fiddlers, that included two of his siblings.      Nelson took part in the National FFA Organization (formerly known as the Future Farmers of America) while in high school.      Beginning in high school Nelson worked as a disc jockey for local radio stations. Nelson had short DJ stints with KHBR in Hillsboro, Texas, and later with KBOP in Pleasanton, Texas, as well as singing gigs in [honky tonk](http://www.last.fm/tag/honky%20tonk) bars.      Nelson graduated from Abbott High School in 1951. He joined the Air Force the same year but was discharged after nine months due to back problems. He then studied agriculture at Baylor University for one year in 1954.      In 1956, Nelson moved to Vancouver, Washington, to begin a musical career, recording “[Lumberjack](http://www.last.fm/music/Willie+Nelson/_/Lumberjack),” which was written by [Leon Payne](http://www.last.fm/music/Leon+Payne). The single sold fairly well, but did not establish a career. Nelson continued to work as a radio announcer in Vancouver and to sing in clubs. He sold a song called “[Family Bible](http://www.last.fm/music/Willie+Nelson/_/Family+Bible)” for $50; the song was a hit for [Claude Gray](http://www.last.fm/music/Claude+Gray) in 1960, has been covered widely and is often considered a [gospel](http://www.last.fm/tag/gospel) music classic.      Nelson moved to Nashville in 1960, but was unable to land a record label contract. He did, however, receive a publishing contract at Pamper Music. After [Ray Price](http://www.last.fm/music/Ray+Price) recorded Nelson’s “[Night Life](http://www.last.fm/music/Willie+Nelson/_/Night+Life)” (reputedly the most covered country song of all time; a version of “Night Life” was even recorded by convicted killer and former cult leader [Charles Manson](http://www.last.fm/music/Charles+Manson)), Nelson joined Price’s touring band as a bass player. While playing with Ray Price and the Cherokee Cowboys, many of Nelson’s songs became hits for some of country and [pop](http://www.last",1119702,classic,"['contemporary country', 'country', 'country road']",willie nelson,71,"['Beer For My Horses', ""Mammas, Don't Let Your Babies Grow Up to Be Cowboys"", 'On the Road Again - Live', 'Have You Ever Seen the Rain (feat. Paula Nelson)', 'Highwayman', 'Welcome To Hazeville', 'Always On My Mind', 'Pancho and Lefty', 'Whiskey River', 'Highwayman']"
"We don‘t know exactly when they called themselves Märtini Brös for the first time, but it should have been at one of their first joint clubgigs in Berlin, while one or the other was spinning records and one or the other was improvising on the guitar, the keyboard or on the mic.   But at the latest in summer 98 and the start of the Sundays-event series „Audiopark“ in the garden of Berlin‘s Suicide Club Clé and Mike Vamp present themselves as a duo as Märtini Brös.   Sine then they are creating hymn-like Electro-House-tracks and they benefit from the huge musical fundus and their longtime experience as DJs. You can always hear in their music what fun they had producing it, especially when it‘s down to vocoder homages.   Accordingly they write lively, strong and individual songs; sometimes with a funky guitar and sometimes with an 80ies-Moroder-bass. What starts as a sparse rhythm- and vocal-sample-framework condenses by-and-by to that kind of music that hits the nerv of the time.   The first Märtini Brös 12“ Material Love E.P. has been released on Raw Elements in 1998 and their fourth release Saviours Of The Universe (PFR13) in 2000 already included their first hit. Flash became the anthem of a whole club generation. Further single releases on Turbo (Canada) and Poker Flat / Superstar underpinned their reputation as up-and-coming artist and led up to the first longplay release in summer 2002.   With their debut album Pläy (Poker Flat / Turbo / Superstar) under the pillow they now slept more often in hotels than at home. They visited the entire club-equator and showed the people out there what it means to fläsh and that they do so the entire weekend and consequently everybody wanted to Dance Like It Is OK. The video has even been nominated for the German Dance Awards.   More remix requests followed by Tiga, Ivan Smagghe, Mr. Brooks and Detroit Grand Pubahs, who carried the sound further around the globe. The Märtini Brös became internationally demanded artists.   Since their first official liveshow at the world premiere of the german cultmovie Run Lola Run where they delivered a remarkable performance the Märtini Brös toured a couple of times around the globe. On their album world tour in 2002 and 2003 alone they played all over Europe, Australia, Canada and the US.   In between the gigs they remixed acts like Turner, Tok Tok, Tocotronic, Scissor Sisters, Louie Austen and 2Raumwohnung and Mike Vamp became part of the Remington Allstars side-projects for danceable electronica amongst the brothers Teichmann and others.   In late 2003 the singles Hot (Poker Flat, pfr34) and Boy/Girl (Poker Flat / Superstar) marked the end of the Pläy era. The Märtini Brös returned into their Audiopark studio and locked themselves away until the new album was ready.   After months of studio work already the first single Love The Machine (pfr41) from the new longplayer becomes a clubhit",13180,world,"['acid jazz', 'electro jazz']",märtini brös,43,"['Hoping (Märtini Brös. Electric Blue Mix)', 'Gebrünn Gebrünn - Maertini Broes Remix', 'Schwarz wie die Nacht - Maertini Broes Liebestropfen Dub Mix', 'Martini Bros', 'Metamorphosis - Märtini Brös Remix', 'The Jacker - Märtini Brös Remix', 'Alles sehen - Märtini Brös Remix', 'Martini Stomp', 'Martini Stomp', 'Bleib geschmeidig - Neonbrösmix by Märtini Brös']"
"U2 is rock band from Ireland which formed in 1976 in Dublin, Ireland. Since the band’s formation, they have consisted of [Bono](http://www.last.fm/music/Bono) (real name Paul Hewson) (vocals, guitar, harmonica), [The Edge](http://www.last.fm/music/The+Edge) (real name David Evans) (guitar, keyboards, backing vocals), [Adam Clayton](http://www.last.fm/music/Adam+Clayton) (bass) and [Larry Mullen, Jr.](http://www.last.fm/music/Larry+Mullen,+Jr.) (drums, percussion). The band is the biggest selling alternative rock act of all time, having sold 150 million albums worldwide as of 2008. They have won 22 Grammys and were inducted into the Rock & Roll Hall of Fame in 2005. As of 2009, they have released 12 albums and 58 singles.      **Foundation:** The band originally formed in 1976 when Larry Mullen posted a bulletin in his school asking for musicians to form a rock band. The band then consisted of the four current members plus three additional guitarists, including The Edge’s brother Dick Evans (later a member of [Virgin Prunes](http://www.last.fm/music/Virgin+Prunes)), Ivan McCormick and [Peter Martin](http://www.last.fm/music/Peter+Martin). According to legend, Bono originally auditioned as a guitarist but couldn’t play. He auditioned as lead vocals, but really couldn’t sing. He was, however, incredibly enthusiastic about the band, extremely charismatic, a great writer, and was strangely able to reach the audience when the band played, something he is known for still today. Bono will reach out into the crowd and dance or mess with someone in the crowd at every concert. He was kept as a member. The extra guitarists would soon leave the band and the group would go through the names “Feedback ” and “The Hype” before finally settling on U2.      **The 70s & 80s:** 1978 was a jumping point year for the band, finally finding their sound / voice. U2 won a talent contest in 1978: £500 and funds to make a record. Paul McGuinness became the band’s manager and U2 released an EP called [Three](http://www.last.fm/music/U2/Three) and the single Another Day, the following year. U2 went on to release their first album, [Boy](http://www.last.fm/music/U2/Boy) and then more critically acclaimed albums incl.: [October](http://www.last.fm/music/U2/October), [War](http://www.last.fm/music/U2/War), [Under A Blood Red Sky](http://www.last.fm/music/U2/Under+A+Blood+Red+Sky), and [The Unforgettable Fire](http://www.last.fm/music/U2/The+Unforgettable+Fire) (featuring the song PlayMLK dedicated to Martin Luther King Jr). Seen by many as a political band with more charisma than others, they were called “a different kind” of band. After a short break U2 returned with [The Joshua Tree](http://www.last.fm/music/U2/The+Joshua+Tree) & the USA music inspired [Rattle And Hum](http://www.last.fm/music/U2/Rattle+And+Hum) (also a movie of the same name, based on the tour).      **The 90s:** Promising ”to dream it all up again”, they added industrial and dance styles to their music",13124741,rock,"['conscious hip hop', 'hip hop', 'pop rap', 'rap', 'west coast rap']",u2,88,"['XXX. FEAT. U2.', ""I Still Haven't Found What I'm Looking For"", 'With Or Without You - Remastered', 'Beautiful Day', 'One', 'Sunday Bloody Sunday - Remastered 2008', 'With Or Without You - Remastered', 'Desire', 'Pride (In The Name Of Love) - Remastered 2009', 'Mysterious Ways']"
"Third Eye Blind is a [rock](http://www.last.fm/tag/rock) band formed in the mid [1990s](http://www.last.fm/tag/1990s) in San Francisco, California. The original members were [Stephan Jenkins](http://www.last.fm/music/Stephan+Jenkins) (singer, songwriter, electric guitar), [Kevin Cadogan](http://www.last.fm/music/Kevin+Cadogan) (guitar), Adrian Burley (drums), and [Jason Slater](http://www.last.fm/music/Jason+Slater) (bass guitar). The band’s original line-up changed several times before the release of the group’s debut album, and again shortly after the release of the band’s second album [Blue](http://www.last.fm/music/Third+Eye+Blind/Blue) — at which point the band’s main guitarist [Kevin Cadogan](http://www.last.fm/music/Kevin+Cadogan) was released from the band under circumstances that still elicit controversy among fans. Third Eye Blind’s current line-up is Stephan Jenkins (vocals, electric guitar), Abe Millett (bass guitar), [Brad Hargreaves](http://www.last.fm/music/Brad+Hargreaves) (drums), and Kryz Reid (electric guitar). More recently, bassist Arion Salazar has not been playing with the band, and his future as part of the quartet is unclear. Leo Kremer has been filling in for Salazar during concerts, but it is not yet known if he will become a full-time member. For a time the band also featured ex-[Smash Mouth](http://www.last.fm/music/Smash+Mouth) drummer Michael Urbano and early [Primus](http://www.last.fm/music/Primus) drummer Tim ‘’Curveball’’ Wright.      Third Eye Blind recorded their first demo in 1993. In 1996, the band landed an opening gig for [Oasis](http://www.last.fm/music/Oasis), prior to which performance, so the legend goes, Third Eye Blind was warned that the crowd might throw food at them. As it turned out, however, they were invited out for an encore, even after Oasis had already played, bringing [Liam Gallagher](http://www.last.fm/music/Liam+Gallagher) to tears and sparking the friendly rivalry that would form between the two bands. The band was paid double what they were promised for the gig. Afterwards, the band found themselves in a bidding war among record labels, in which they settled on Elektra because they believed it offered the most artistic freedom. Stephan Jenkins’ outspoken behavior after signing the deal earned him the title of “the biggest mouth in music” by many critics. Jenkins has spoken out many times against several different artists, including a heated feud with [Rob Thomas](http://www.last.fm/music/Rob+Thomas) of the band [Matchbox Twenty](http://www.last.fm/music/Matchbox+Twenty).      A fourth album, tentatively titled Ursa Major, was released August 2009. Shortly after the band has slated the release of a follow-up album, Ursa Minor. Only Jenkins’ lyrics and vocals are left to be finished; all instrumental work is reportedly complete",807415,rock,"['alternative rock', 'neo mellow', 'pop punk', 'pop rock', 'post-grunge', 'rock']",third eye blind,69,"['Semi-Charmed Life', 'Jumper - 1998 Edit', ""How's It Going to Be"", 'Never Let You Go - 2008 Version', 'Motorcycle Drive By', 'Graduate', 'Walk Like Kings', 'Losing a Whole Year', 'Deep Inside of You - 2008 Version', 'Crystal Baller']"
